iter	Passed	Remaining
981	47520	242829
982	47567	242773
983	47604	242664
984	47656	242639
985	47704	242587
986	47748	242513
987	47791	242442
988	47843	242412
989	47902	242417
990	47954	242385
991	48006	242355
992	48052	242295
993	48100	242244
994	48144	242174
995	48197	242146
996	48246	242101
997	48287	242017
998	48335	241968
999	48389	241947
1000	48434	241881
1001	48479	241818
1002	48525	241755
1003	48570	241690
1004	48607	241584
1005	48651	241516
1006	48697	241455
1007	48749	241427
1008	48803	241406
1009	48849	241347
1010	48889	241258
1011	48921	241129
1012	48967	241065
1013	49007	240979
1014	49061	240958
1015	49105	240889
1016	49157	240856
1017	49202	240793
1018	49250	240742
1019	49300	240700
1020	49347	240646
1021	49397	240605
1022	49439	240528
1023	49487	240480
1024	49540	240454
1025	49582	240374
1026	49625	240300
1027	49662	240194
1028	49719	240188
1029	49757	240093
1030	49800	240016
1031	49844	239947
1032	49883	239856
1033	49933	239818
1034	49979	239754
1035	50022	239684
1036	50067	239616
1037	50115	239571
1038	50167	239536
1039	50218	239502
1040	50271	239478
1041	50316	239415
1042	50364	239363
1043	50424	239370
1044	50479	239353
1045	50528	239309
1046	50580	239281
1047	50633	239252
1048	50690	239247
1049	50740	239204
1050	50789	239159
1051	50840	239122
1052	50888	239072
1053	50927	238984
1054	50976	238937
1055	51028	238906
1056	51080	238875
1057	51124	238805
1058	51172	238756
1059	51223	238719
1060	51276	238693
1061	51340	238718
1062	51410	238772
1063	51455	238709
1064	51507	238673
1065	51549	238596
1066	51591	238521
1067	51645	238496
1068	51693	238446
1069	51741	238395
1070	51789	238345
1071	51828	238257
1072	51874	238197
1073	51929	238177
1074	51978	238132
1075	52026	238082
1076	52076	238044
1077	52123	237991
1078	52154	237860
1079	52212	237858
1080	52259	237800
1081	52313	237778
1082	52356	237706
1083	52403	237652
1084	52435	237529
1085	52472	237431
1086	52513	237348
1087	52566	237321
1088	52612	237265
1089	52644	237141
1090	52691	237086
1091	52742	237052
1092	52790	237003
1093	52843	236975
1094	52891	236926
1095	52951	236928
1096	52999	236880
1097	53046	236824
1098	53099	236798
1099	53129	236668
1100	53151	236503
1101	53199	236452
1102	53250	236416
1103	53299	236372
1104	53351	236340
1105	53401	236299
1106	53441	236214
1107	53488	236161
1108	53523	236051
1109	53572	236010
1110	53627	235989
1111	53679	235956
1112	53733	235934
1113	53784	235899
1114	53840	235884
1115	53888	235832
1116	53937	235790
1117	53991	235765
1118	54047	235749
1119	54103	235735
1120	54153	235696
1121	54203	235654
1122	54252	235610
1123	54297	235548
1124	54344	235490
1125	54389	235431
1126	54441	235395
1127	54483	235324
1128	54532	235278
1129	54575	235208
1130	54618	235135
1131	54666	235084
1132	54712	235025
1133	54756	234959
1134	54813	234950
1135	54858	234886
1136	54908	234846
1137	54952	234779
1138	55000	234730
1139	55047	234675
1140	55092	234614
1141	55146	234591
1142	55203	234577
1143	55252	234532
1144	55292	234449
1145	55336	234384
1146	55382	234324
1147	55427	234264
1148	55462	234160
1149	55515	234132
1150	55569	234105
1151	55609	234024
1152	55658	233979
1153	55709	233940
1154	55753	233873
1155	55801	233824
1156	55841	233741
1157	55899	233733
1158	55955	233721
1159	56009	233695
1160	56056	233640
1161	56105	233597
1162	56148	233527
1163	56196	233475
1164	56237	233399
1165	56290	233368
1166	56331	233291
1167	56385	233265
1168	56433	233215
1169	56479	233160
1170	56529	233119
1171	56562	233007
1172	56598	232908
1173	56646	232858
1174	56699	232827
1175	56750	232792
1176	56797	232739
1177	56856	232734
1178	56903	232681
1179	56948	232619
1180	56992	232556
1181	57046	232529
1182	57083	232437
1183	57116	232324
1184	57161	232263
1185	57206	232202
1186	57260	232179
1187	57304	232110
1188	57349	232049
1189	57395	231993
1190	57450	231970
1191	57504	231945
1192	57547	231878
1193	57591	231811
1194	57625	231709
1195	57669	231644
1196	57714	231581
1197	57762	231533
1198	57810	231483
1199	57855	231423
1200	57898	231351
1201	57952	231329
1202	58006	231302
1203	58041	231202
1204	58086	231139
1205	58130	231074
1206	58174	231011
1207	58218	230945
1208	58249	230828
1209	58293	230764
1210	58341	230716
1211	58386	230655
1212	58427	230577
1213	58472	230517
1214	58515	230451
1215	58551	230353
1216	58602	230318
1217	58649	230263
1218	58691	230191
1219	58742	230156
1220	58788	230099
1221	58840	230065
1222	58900	230063
1223	58954	230038
1224	59013	230030
1225	59054	229957
1226	59105	229919
1227	59144	229835
1228	59189	229773
1229	59243	229748
1230	59291	229700
1231	59355	229714
1232	59389	229609
1233	59427	229523
1234	59474	229471
1235	59520	229414
1236	59570	229371
1237	59625	229352
1238	59666	229273
1239	59713	229224
1240	59758	229162
1241	59787	229040
1242	59839	229008
1243	59888	228960
1244	59935	228910
1245	59986	228873
1246	60029	228804
1247	60075	228748
1248	60124	228705
1249	60168	228638
1250	60218	228600
1251	60269	228561
1252	60323	228536
1253	60369	228480
1254	60411	228407
1255	60444	228304
1256	60498	228275
1257	60547	228233
1258	60594	228181
1259	60642	228130
1260	60693	228092
1261	60747	228066
1262	60785	227983
1263	60830	227922
1264	60879	227878
1265	60927	227829
1266	60979	227796
1267	61027	227744
1268	61057	227631
1269	61114	227615
1270	61161	227562
1271	61215	227536
1272	61263	227486
1273	61307	227424
1274	61350	227359
1275	61399	227312
1276	61447	227265
1277	61501	227238
1278	61553	227205
1279	61611	227192
1280	61665	227164
1281	61715	227124
1282	61762	227071
1283	61807	227011
1284	61857	226970
1285	61912	226948
1286	61964	226915
1287	62006	226842
1288	62058	226807
1289	62112	226782
1290	62153	226709
1291	62193	226629
1292	62246	226601
1293	62292	226542
1294	62336	226481
1295	62385	226434
1296	62430	226375
1297	62470	226300
1298	62508	226212
1299	62552	226151
1300	62598	226096
1301	62650	226060
1302	62700	226020
1303	62739	225938
1304	62787	225890
1305	62841	225863
1306	62878	225775
1307	62919	225700
1308	62972	225671
1309	63017	225611
1310	63063	225556
1311	63112	225510
1312	63150	225427
1313	63196	225371
1314	63251	225347
1315	63303	225313
1316	63368	225324
1317	63414	225269
1318	63460	225214
1319	63514	225187
1320	63564	225147
1321	63612	225097
1322	63655	225030
1323	63696	224956
1324	63753	224941
1325	63811	224929
1326	63869	224915
1327	63904	224819
1328	63945	224746
1329	63997	224714
1330	64052	224687
1331	64098	224632
1332	64139	224560
1333	64195	224538
1334	64236	224465
1335	64280	224403
1336	64323	224337
1337	64368	224281
1338	64418	224238
1339	64451	224135
1340	64495	224073
1341	64545	224034
1342	64597	223998
1343	64651	223971
1344	64697	223915
1345	64751	223886
1346	64804	223856
1347	64840	223765
1348	64893	223735
1349	64942	223690
1350	64990	223641
1351	65037	223591
1352	65085	223540
1353	65130	223484
1354	65180	223442
1355	65229	223396
1356	65283	223368
1357	65327	223307
1358	65368	223233
1359	65418	223193
1360	65466	223143
1361	65513	223090
1362	65562	223048
1363	65606	222983
1364	65653	222932
1365	65705	222898
1366	65749	222836
1367	65801	222801
1368	65853	222767
1369	65911	222753
1370	65949	222670
1371	65998	222623
1372	66050	222590
1373	66104	222561
1374	66154	222521
1375	66192	222437
1376	66232	222362
1377	66292	222353
1378	66339	222302
1379	66384	222245
1380	66438	222213
1381	66483	222158
1382	66535	222123
1383	66577	222051
1384	66617	221979
1385	66660	221911
1386	66707	221860
1387	66761	221834
1388	66800	221753
1389	66844	221694
1390	66885	221621
1391	66918	221522
1392	66959	221451
1393	67018	221440
1394	67113	221548
1395	67142	221434
1396	67200	221419
1397	67246	221364
1398	67293	221314
1399	67341	221264
1400	67381	221190
1401	67428	221137
1402	67464	221051
1403	67517	221018
1404	67563	220963
1405	67607	220901
1406	67663	220880
1407	67712	220834
1408	67742	220727
1409	67787	220670
1410	67837	220626
1411	67881	220568
1412	67933	220531
1413	67985	220494
1414	68037	220462
1415	68088	220422
1416	68136	220372
1417	68185	220328
1418	68249	220331
1419	68300	220293
1420	68356	220271
1421	68393	220187
1422	68439	220131
1423	68488	220085
1424	68548	220077
1425	68600	220041
1426	68649	219996
1427	68696	219944
1428	68749	219911
1429	68789	219837
1430	68831	219771
1431	68880	219725
1432	68927	219672
1433	68968	219603
1434	69019	219563
1435	69070	219523
1436	69124	219496
1437	69166	219428
1438	69227	219420
1439	69271	219359
1440	69313	219293
1441	69353	219219
1442	69404	219178
1443	69446	219110
1444	69486	219039
1445	69527	218968
1446	69576	218922
1447	69621	218866
1448	69666	218807
1449	69709	218742
1450	69755	218690
1451	69803	218640
1452	69856	218608
1453	69899	218543
1454	69940	218473
1455	69983	218410
1456	70019	218324
1457	70065	218268
1458	70114	218223
1459	70157	218161
1460	70199	218095
1461	70251	218059
1462	70298	218006
1463	70356	217989
1464	70410	217959
1465	70457	217909
1466	70503	217853
1467	70540	217770
1468	70591	217734
1469	70641	217690
1470	70689	217642
1471	70737	217596
1472	70792	217569
1473	70844	217532
1474	70884	217459
1475	70921	217378
1476	70972	217337
1477	71022	217295
1478	71073	217256
1479	71120	217205
1480	71172	217171
1481	71229	217147
1482	71286	217127
1483	71335	217084
1484	71387	217047
1485	71444	217024
1486	71501	217004
1487	71560	216990
1488	71609	216943
1489	71661	216908
1490	71718	216887
1491	71768	216845
1492	71823	216817
1493	71884	216809
1494	71930	216753
1495	71977	216703
1496	72021	216641
1497	72067	216586
1498	72109	216520
1499	72160	216482
1500	72211	216441
1501	72264	216407
1502	72303	216334
1503	72340	216253
1504	72399	216235
1505	72448	216189
1506	72499	216151
1507	72549	216109
1508	72594	216051
1509	72641	216001
1510	72687	215946
1511	72728	215877
1512	72780	215838
1513	72835	215812
1514	72885	215769
1515	72924	215694
1516	72976	215659
1517	73012	215573
1518	73069	215552
1519	73118	215505
1520	73164	215453
1521	73215	215412
1522	73255	215341
1523	73304	215296
1524	73350	215241
1525	73396	215186
1526	73444	215139
1527	73493	215093
1528	73537	215033
1529	73572	214946
1530	73614	214881
1531	73645	214784
1532	73697	214747
1533	73736	214672
1534	73784	214622
1535	73824	214551
1536	73874	214509
1537	73926	214474
1538	73974	214424
1539	74020	214371
1540	74064	214309
1541	74110	214258
1542	74161	214218
1543	74210	214173
1544	74256	214117
1545	74305	214071
1546	74360	214045
1547	74404	213985
1548	74452	213936
1549	74503	213896
1550	74548	213838
1551	74602	213810
1552	74653	213770
1553	74730	213805
1554	74783	213769
1555	74834	213729
1556	74883	213685
1557	74933	213642
1558	74981	213593
1559	75030	213549
1560	75086	213523
1561	75132	213467
1562	75187	213438
1563	75236	213393
1564	75289	213359
1565	75340	213319
1566	75392	213281
1567	75432	213212
1568	75484	213175
1569	75534	213131
1570	75571	213052
1571	75626	213025
1572	75669	212961
1573	75718	212916
1574	75762	212857
1575	75805	212793
1576	75857	212755
1577	75903	212703
1578	75945	212637
1579	76000	212610
1580	76043	212546
1581	76096	212513
1582	76145	212465
1583	76199	212434
1584	76255	212408
1585	76307	212370
1586	76350	212309
1587	76399	212263
1588	76443	212204
1589	76496	212169
1590	76545	212123
1591	76599	212093
1592	76646	212041
1593	76696	211998
1594	76743	211948
1595	76799	211921
1596	76841	211855
1597	76896	211826
1598	76943	211776
1599	76992	211728
1600	77034	211664
1601	77072	211588
1602	77120	211538
1603	77171	211501
1604	77212	211432
1605	77258	211379
1606	77296	211301
1607	77349	211269
1608	77396	211217
1609	77448	211179
1610	77503	211149
1611	77549	211095
1612	77605	211068
1613	77652	211019
1614	77687	210935
1615	77732	210879
1616	77788	210850
1617	77826	210776
1618	77881	210745
1619	77934	210710
1620	77982	210664
1621	78029	210612
1622	78078	210567
1623	78127	210520
1624	78171	210462
1625	78231	210445
1626	78280	210400
1627	78333	210365
1628	78382	210318
1629	78428	210266
1630	78475	210215
1631	78528	210180
1632	78575	210129
1633	78620	210072
1634	78654	209986
1635	78703	209939
1636	78744	209872
1637	78794	209830
1638	78843	209783
1639	78884	209716
1640	78928	209657
1641	78979	209617
1642	79030	209577
1643	79082	209539
1644	79125	209479
1645	79172	209427
1646	79222	209383
1647	79268	209330
1648	79319	209289
1649	79356	209213
1650	79395	209139
1651	79441	209087
1652	79489	209039
1653	79535	208985
1654	79586	208945
1655	79641	208915
1656	79690	208868
1657	79736	208816
1658	79783	208764
1659	79833	208721
1660	79876	208661
1661	79935	208640
1662	79984	208595
1663	80044	208578
